Group;Marker Icon;Marker Color;Icon Color;Custom Size;Naam;Image;Tag;Location;Latitude;Longitude;Adres
Ontmoetingsplaatsen;beer;blue;white;;Polish Bar Sami Swoi;;Horeca;Van Woustraat 232 HS Amsterdam;523.497.681;49.036.223;Van Woustraat 232, 1073 NC Amsterdam
Ontmoetingsplaatsen;beer;blue;white;;Klub Klimat Holandia;;Horeca;De Burg 6, 1648 JT De Goorn;526.320.181;49.497.553;De Burg 6, 1648 JT De Goorn
Ontmoetingsplaatsen;beer;blue;white;;Cafe Bar Tu jest Polska Spoko Loko;;Horeca;Maandereind 12C Ede;52.435.065;56.690.572;Maandereind 12C, 6711 AC Ede
Ontmoetingsplaatsen;beer;blue;white;;Cafe bar Warszawa;;Horeca;Heezerweg 123 Eindhoven;514.268.093;54.929.212;Heezerweg 123, 5614 HC Eindhoven
Ontmoetingsplaatsen;beer;blue;white;;Polski Bar;;Horeca;Brouwersvaart 146 Haarlem;523.824.985;46.275.301;Brouwersvaart 146, 2013 RE Haarlem
Ontmoetingsplaatsen;beer;blue;white;;Fahrenheit;;Horeca;Fahrenheitstraat 22 Den Haag;52.701.085;42.786.418;Fahrenheitstraat 22, 2561 EC Den Haag
Ontmoetingsplaatsen;beer;blue;white;;The Shuffle;;Horeca;Gasthuisstraat 36 Horst;51.448.382;6.522.833;Gasthuisstraat 36, 5961 GB Horst
Ontmoetingsplaatsen;beer;blue;white;;Luna;;Horeca;Dorpsstraat 39 5472 PH Loosbroek;516.794.854;55.105.492;Dorpsstraat 39, 5472 PH Loosbroek
Ontmoetingsplaatsen;beer;blue;white;;Teejater;;Horeca;Havenstraat 43-45, 2671 GH Naaldwijk;519.948.044;42.078.856;Havenstraat 43, 2671 GH Naaldwijk
Ontmoetingsplaatsen;beer;blue;white;;Cafe Disco;;Horeca;Berghemseweg 33 Oss;517.696.137;55.303.308;Berghemseweg 33, 5348 CA Oss
Ontmoetingsplaatsen;beer;blue;white;;Bar Bocian;;Horeca;Ooievaarsteeg 1 Schiedam;519.186.895;43.983.815;Ooievaarsteeg 1, 3111 NS Schiedam
Ontmoetingsplaatsen;beer;blue;white;;Sami Swoi;;Horeca;Tuinstraat 59 5038 DB Tilburg;515.574.887;5.840.521;Tuinstraat 59, 5038 DB Tilburg
Ontmoetingsplaatsen;beer;blue;white;;Bar Lekker Belangrijk;;Horeca;Voorstraat 96 Utrecht;52.952.463;5.122.773;Voorstraat 96, 3512 AV Utrecht
Ontmoetingsplaatsen;beer;blue;white;;Polski pub Diablica;;Horeca;Baarlosestraat 324 Venlo;51.354.804;61.258.741;Baarlosestraat 324, 5926 PN Venlo
Ontmoetingsplaatsen;beer;blue;white;;Polska Dyskoteka Wok-Dance;;Horeca;Antwerpseweg 36 Rijsbergen;514.975.817;46.837.781;Antwerpseweg 36, 4891 CP Rijsbergen
Ontmoetingsplaatsen;beer;blue;white;;Dance Mission;;Horeca;Stationsstraat 21 Tilburg;515.588.909;5.823.186;Stationsstraat 21, 5038 EC Tilburg
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Karolinka Poolse Delicatessen;;Winkels;Grotestraat 162 Waalwijk;516.899.929;5.617.755;Grotestraat 162, 5141 HC Waalwijk
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Janosik Poolse winkel;;Winkels;Grotestraat 127 Waalwijk;516.897.592;558.581;Grotestraat 127, 5141 JP Waalwijk
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Warta Supermarkt;;Winkels;Stationsstraat 126 Waalwijk;516.857.744;5.672.864;Stationsstraat 126, 5141 GH Waalwijk
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Wisla Supermarkt;;Winkels;Korvelseweg 219A Tilburg;515.505.152;5.711.226;Korvelseweg 219A, 5025 JG Tilburg
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Zapolski Supermarkt;;Winkels;Trouwlaan 27 Tilburg;515.516.492;5.783.526;Trouwlaan 27, 5021 WD Tilburg
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Luzik Poolse Delicatessen;;Winkels;Enschotsestraat 135 Tilburg;515.646.739;5.987.743;Enschotsestraat 135, 5014 DD Tilburg
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Super Sam Tilburg Poolse Market;;Winkels;Bosscheweg 314 Tilburg;515.619.508;51.053.801;Bosscheweg 314, 5013 AD Tilburg
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Polska Piekarnia Bakkerij Z&B;;Winkels;Ceramstraat 2B Tilburg;515.655.971;51.058.913;Ceramstraat 2B, 5013 BB Tilburg
Ontmoetingsplaatsen;shopping-basket;lightblue;white;;Polskie delikatesy HiZ Mateusz;;Winkels;Peperstraat 7 Kaatsheuvel;516.609.763;5.328.033;Peperstraat 7, 5171 EC Kaatsheuvel
Ontmoetingsplaatsen;church;gray;white;;Maria Magdalenakerk / Grote Kerk;;Kerken;Singelstraat 21, 4461HZ Goes;515.031.386;38.902.146;Singelstraat 21, 4461 Goes
Ontmoetingsplaatsen;church;gray;white;;St. Laurentiuskerk;;Kerken;Ginnekenweg 333, 4835ND Breda;515.682.215;47.847.079;Ginnekenweg 333, 4835 ND Breda
Ontmoetingsplaatsen;church;gray;white;;Mariakerk;;Kerken;De Schans 122, 5011EN Tilburg;515.876.201;5.916.572;De Schans 122, 5011 EN Tilburg
Ontmoetingsplaatsen;church;gray;white;;O.L.V. van Altijddurende Bijstand;;Kerken;Wernhoutseweg 149, 4884AT Wernhout;514.531.671;46.419.692;Wernhoutseweg 149, 4884 AT Wernhout
Ontmoetingsplaatsen;church;gray;white;;St Gertrudis;;Kerken;Dorpstraat 7, 4641HV Ossendrecht;513.945.431;43.235.879;Dorpsstraat 7, 4641 HV Ossendrecht
Ontmoetingsplaatsen;church;gray;white;;H.Johannes de Doper;;Kerken;Achterstraat 11, 4681AG Nieuw-Vossemeer;515.869.737;42.172.289;Achterstraat 11, 4681 AG Nieuw-Vossemeer
Bedrijven;building;red;white;;TP Zoetermeer;;Callcenters;Ierlandlaan 45 2713 HH zoetermeer;52.582.722;44.823.231;Ierlandlaan 45, 2713 Zoetermeer
Bedrijven;building;red;white;;TP Amsterdam;;Callcenters;Herikerbergweg 292-342 1101 CT Amsterdam-Zuidoost;523.075.498;49.416.642;Herikerbergweg 292, 1101 CT Amsterdam
Bedrijven;building;red;white;;TP Maastricht;;Callcenters;Paul-Henri Spaaklaan 7-9 6229 EN Maastricht;50.839.624;5.712.979;Paul-Henri Spaaklaan 7, 6229 EN Maastricht
Bedrijven;building;red;white;;TP Tilburg;;Callcenters;Spoorlaan 394 5038 CG Tilburg;515.598.017;5.851.759;Spoorlaan 394, 5038 CG Tilburg
Bedrijven;building;red;white;;TP Utrecht;;Callcenters;Papendorpseweg 97 3528 BJ Utrecht;52.633.143;5.885.952;Papendorpseweg 97, 3528 BJ Utrecht
Bedrijven;building;red;white;;TP Zoetermeer;;Callcenters;Orfeoschouw 70 2726 JH Zoetermeer;52.650.493;44.937.703;Orfeoschouw 70, 2726 JH Zoetermeer
Bedrijven;building;red;white;;Bol;;Hoofdkantoor;Papendorpseweg 96, 3528 BJ Utrecht;52.658.329;5.893.222;Papendorpseweg 96, 3528 BJ Utrecht
Bedrijven;building;red;white;;IM CFS Benelux;;Hoofdkantoor;Energieweg 2, 5145 NW Waalwijk;516.938.421;565.812;Energieweg 2, 5145 NW Waalwijk
Bedrijven;warehouse;red;white;;IM CFS Benelux;;Fulfilment;Veerweg 16, 5145 NS Waalwijk;517.040.386;541.357;Veerweg 16, 5145 NS Waalwijk
Bedrijven;warehouse;red;white;;IM CFS Benelux;;Fulfilment;Van Harenstraat 3, 5145 RH Waalwijk;517.009.423;5.374.498;Van Harenstraat 3, 5145 Waalwijk
Bedrijven;warehouse;red;white;;BFC;;Fulfilment;Pakketweg 2, Waalwijk;517.018.817;5.679.745;Pakketweg 2, 5145 Waalwijk
Bedrijven;warehouse;red;white;;IM CFS Benelux;;Fulfilment;Gesworenhoekseweg 11, 5047 TM Tilburg;515.973.107;519.684;Gesworenhoekseweg 11, 5047 TM Tilburg
Huisvesting;home;darkgreen;white;;"""Polenhotel""";;Hotel;Altenaweg 18, 5145PC, Waalwijk;516.932.104;5.649.053;Altenaweg 18, 5145 PC Waalwijk
Ontmoetingsplaatsen;beer;blue;white;;Brasserie De Steiger;;Horeca;Ptolemaeuslaan 53, 3528 BR Utrecht;52.681.924;5.798.947;Ptolemaeuslaan 53, 3528 BR Utrecht
Huisvesting;home;darkgreen;white;;Vakantiepark Droomgaard;;Vakantieparken;Van Haestrechtstraat 24, 5171 RC Kaatsheuvel;51.660.826;5.624.536;Van Haestrechtstraat 24, 5171 RC Kaatsheuvel
Bedrijven;warehouse;orange;white;;PNL BFC;;Pakketsortering;Pakketweg 2, Waalwijk;517.018.817;5.679.745;Pakketweg 2, 5145 Waalwijk, Netherlands
Bedrijven;warehouse;orange;white;;NLI Amersfoort;;Pakketsortering;Windturbine 8, 3815 KP, Amersfoort;52.165.426;5.423.745;De Windturbine 8, 3815 Amersfoort
Bedrijven;warehouse;orange;white;;Extra@Home Amersfoort;;Pakketsortering;Basicweg 10 -12, 3821 BR, Amersfoort;521.739.786;54.226.833;Basicweg 10, 3821 BR Amersfoort
Bedrijven;warehouse;orange;white;;NLI Sittard;;Pakketsortering;Holtum Noordweg 107, 6121 RE, Born;51.690.266;58.186.017;Holtum-Noordweg 107, 6121 RE Born
Bedrijven;warehouse;orange;white;;NLI Breda;;Pakketsortering;Steltbeemd 1, 4824 AP, Breda;516.031.392;47.589.502;Steltbeemd 1, 4825 AJ Breda
Bedrijven;warehouse;orange;white;;NLI Den Bosch;;Pakketsortering;Ketelaarskampweg 4, 5222 AL, Den Bosch;517.036.683;52.740.367;Ketelaarskampweg 4, 5222 AL 's-Hertogenbosch
Bedrijven;warehouse;orange;white;;NLI Den Hoorn;;Pakketsortering;Heernesse 10, 2635 DK, Den Hoorn;5.239.625;43.191.282;Heernesse 10, 2635 Den Hoorn
Bedrijven;warehouse;orange;white;;NLI Elst;;Pakketsortering;Nijverheidsweg 2d, 6662 NG, Elst;519.140.541;58.610.373;Nijverheidsweg 2d, 6662 NE Elst
Bedrijven;warehouse;orange;white;;NLI Goes;;Pakketsortering;Columbusweg 62, 4462 HB, Goes;514.845.991;38.897.151;Columbusweg 62, 4462 HB Goes
Bedrijven;warehouse;orange;white;;NLI Halfweg;;Pakketsortering;Linieweg 10, 1165 AA, Amsterdam;52.382.463;4.695.344;Linieweg, 2065 Haarlemmerliede
Bedrijven;warehouse;orange;white;;NLI Hengelo;;Pakketsortering;Zuidelijke Havenweg 1, 7554 RR, Hengelo;522.458.448;67.810.025;Zuidelijke Havenweg 1, 7554 Hengelo
Bedrijven;warehouse;orange;white;;PNL E-commerce;;Pakketsortering;Kaagschip 14, 3991 CS, Houten;5.219.104;51.576.333;Kaagschip 14, 3991 CS Houten
Bedrijven;warehouse;orange;white;;NLI Kolham;;Pakketsortering;W.J. Ockelslaan 2, 9615 TP, Kolham;53.170.559;67.462.058;W.J. Ockelslaan 2, 9615 Kolham
Bedrijven;warehouse;orange;white;;NLI Leeuwarden;;Pakketsortering;Brailleweg 3, 8912 BL, Leeuwarden;53.183.449;5.752.369;Brailleweg 3, 8912 BL Leeuwarden
Bedrijven;warehouse;orange;white;;NLI Nieuwegein;;Pakketsortering;Mobilisatiedok 4, 3439 JG Nieuwegein;52.229.887;51.202.295;Mobilisatiedok 4, 3439 JG Nieuwegein
Bedrijven;warehouse;orange;white;;NLI Opmeer;;Pakketsortering;De Veken 332, 1716 KJ, Opmeer;527.126.752;4.961.739;De Veken 332, 1716 Opmeer
Bedrijven;warehouse;orange;white;;NLI Ridderkerk;;Pakketsortering;Schaapherderweg 21, 2988 CK, Ridderkerk;518.764.629;45.616.238;Schaapherderweg 21, 2988 CK Ridderkerk
Bedrijven;warehouse;orange;white;;NLI Sassenheim;;Pakketsortering;Einsteinpark 2, 2171 TX Sassenheim;522.136.936;44.962.802;Einsteinpark 2, 2171 TX Sassenheim
Bedrijven;warehouse;orange;white;;NLI Eindhoven;;Pakketsortering;Ekkersrijt 3402, 5692 CK, Son en Breugel;515.016.102;54.811.692;Ekkersrijt 3402, 5692 CJ Son
Bedrijven;warehouse;orange;white;;NLI Utrecht;;Pakketsortering;Sophialaan 7a, 3542 AR, Utrecht;521.167.642;5.671.703;Sophialaan 7A, 3542 AR Utrecht
Bedrijven;warehouse;orange;white;;NLI Waddinxveen;;Pakketsortering;Overslagweg 2, 2742 RJ, Waddinxveen;52.164.203;4.640.498;Overslagweg 2, 2742 Waddinxveen
Bedrijven;warehouse;orange;white;;NLI Zwolle;;Pakketsortering;Nipkowstraat 1, 8013 RJ, Zwolle;524.935.421;61.367.427;Nipkowstraat 1, 8013 RJ Zwolle
